indoml_id,intent
mn-MN|0,alarm_set
mn-MN|3,audio_volume_mute
mn-MN|8,iot_hue_lightchange
mn-MN|14,iot_hue_lightchange
mn-MN|19,iot_hue_lightoff
mn-MN|27,audio_volume_up
mn-MN|31,iot_cleaning
mn-MN|41,general_quirky
mn-MN|46,general_greet
mn-MN|47,datetime_query
mn-MN|50,datetime_convert
mn-MN|59,alarm_remove
mn-MN|61,alarm_query
mn-MN|63,alarm_query
mn-MN|71,music_likeness
mn-MN|80,iot_hue_lightup
mn-MN|85,datetime_query
mn-MN|86,datetime_query
mn-MN|89,takeaway_order
mn-MN|100,weather_query
mn-MN|102,weather_query
mn-MN|103,datetime_query
mn-MN|122,transport_traffic
mn-MN|124,general_joke
mn-MN|128,datetime_query
mn-MN|132,takeaway_order
mn-MN|150,music_likeness
mn-MN|151,play_audiobook
mn-MN|158,iot_hue_lightdim
mn-MN|168,takeaway_query
mn-MN|169,takeaway_query
mn-MN|170,takeaway_query
mn-MN|171,takeaway_query
mn-MN|174,alarm_set
mn-MN|177,news_query
mn-MN|178,news_query
mn-MN|182,play_music
mn-MN|185,play_music
mn-MN|189,audio_volume_mute
mn-MN|197,datetime_query
mn-MN|201,alarm_remove
mn-MN|216,weather_query
mn-MN|219,weather_query
mn-MN|220,play_music
mn-MN|250,play_music
mn-MN|254,play_music
mn-MN|258,audio_volume_up
mn-MN|261,audio_volume_mute
mn-MN|263,iot_hue_lightchange
mn-MN|279,weather_query
mn-MN|281,qa_currency
mn-MN|286,iot_hue_lightup
mn-MN|290,iot_cleaning
mn-MN|292,iot_cleaning
mn-MN|296,play_music
mn-MN|297,play_music
mn-MN|299,weather_query
mn-MN|310,datetime_query
mn-MN|315,audio_volume_mute
mn-MN|317,audio_volume_mute
mn-MN|319,weather_query
mn-MN|321,iot_wemo_off
mn-MN|322,iot_wemo_on
mn-MN|329,play_game
mn-MN|333,weather_query
mn-MN|334,weather_query
mn-MN|344,weather_query
mn-MN|348,weather_query
mn-MN|355,datetime_query
mn-MN|360,datetime_query
mn-MN|362,play_music
mn-MN|366,news_query
mn-MN|369,iot_hue_lightoff
mn-MN|379,music_likeness
mn-MN|385,news_query
mn-MN|389,iot_wemo_on
mn-MN|391,play_music
mn-MN|393,play_music
mn-MN|397,play_music
mn-MN|399,alarm_remove
mn-MN|400,play_music
mn-MN|407,play_music
mn-MN|411,general_joke
mn-MN|412,general_joke
mn-MN|424,news_query
mn-MN|426,iot_wemo_on
mn-MN|427,iot_hue_lightoff
mn-MN|428,iot_hue_lightoff
mn-MN|430,weather_query
mn-MN|437,play_music
mn-MN|441,news_query
mn-MN|442,news_query
mn-MN|443,audio_volume_up
mn-MN|448,iot_coffee
mn-MN|451,qa_stock
mn-MN|456,iot_hue_lightchange
mn-MN|468,iot_hue_lightchange
mn-MN|473,play_music
mn-MN|475,general_quirky
mn-MN|484,music_query
mn-MN|486,datetime_query
mn-MN|491,weather_query
mn-MN|494,general_joke
mn-MN|506,music_query
mn-MN|508,alarm_query
mn-MN|512,weather_query
mn-MN|525,takeaway_order
mn-MN|527,general_joke
mn-MN|533,alarm_set
mn-MN|540,play_music
mn-MN|555,play_music
mn-MN|560,alarm_remove
mn-MN|564,iot_hue_lightchange
mn-MN|576,play_music
mn-MN|585,news_query
mn-MN|588,news_query
mn-MN|590,weather_query
mn-MN|608,audio_volume_up
mn-MN|612,alarm_set
mn-MN|614,play_music
mn-MN|625,play_music
mn-MN|631,news_query
mn-MN|635,iot_cleaning
mn-MN|651,iot_hue_lightoff
